,E-Datum,KFZ,Start,Ende
153,'29.08.2020','5-KTW-8','12:00','13:00'
154,'29.08.2020','5-KTW-9','20:45','22:00'
155,'29.08.2020','5-KTW-9','23:15','23:45'
156,'29.08.2020','1-KTW-2','07:30','08:30'
157,'29.08.2020','1-KTW-2','08:00','09:00'
158,'29.08.2020','1-KTW-3','09:00','10:00'
159,'29.08.2020','1-KTW-3','10:00','11:00'
160,'29.08.2020','1-KTW-4','10:00','11:00'
161,'29.08.2020','1-KTW-4','11:00','12:00'
162,'29.08.2020','1-KTW-5','09:00','10:00'
163,'29.08.2020','1-KTW-5','10:00','11:00'
164,'29.08.2020','1-KTW-6','11:00','12:00'
165,'29.08.2020','1-KTW-6','12:00','13:00'
166,'29.08.2020','5-KTW-2','07:00','08:00'
167,'29.08.2020','5-KTW-2','08:00','09:00'
168,'29.08.2020','5-KTW-3','09:00','10:00'
169,'29.08.2020','5-KTW-3','10:00','11:00'
170,'29.08.2020','5-KTW-4','10:00','11:00'
171,'29.08.2020','5-KTW-4','11:00','12:00'
172,'29.08.2020','5-KTW-5','09:00','10:00'
173,'29.08.2020','5-KTW-5','10:00','11:00'
174,'29.08.2020','5-KTW-6','11:00','12:00'
175,'29.08.2020','5-KTW-6','12:00','13:00'
176,'29.08.2020','5-KTW-7','09:00','10:00'
177,'29.08.2020','5-KTW-7','10:00','11:00'
178,'29.08.2020','5-KTW-8','11:00','12:00'
179,'29.08.2020','5-KTW-8','12:00','13:00'
180,'29.08.2020','5-KTW-9','20:45','22:00'
181,'29.08.2020','5-KTW-9','23:15','23:45'
182,'29.08.2020','1-KTW-2','07:30','08:30'
183,'29.08.2020','1-KTW-2','08:00','09:00'
184,'29.08.2020','1-KTW-3','09:00','10:00'
185,'29.08.2020','1-KTW-3','10:00','11:00'
186,'29.08.2020','1-KTW-4','10:00','11:00'
187,'29.08.2020','1-KTW-4','11:00','12:00'
188,'29.08.2020','1-KTW-5','09:00','10:00'
189,'29.08.2020','1-KTW-5','10:00','11:00'
190,'29.08.2020','1-KTW-6','11:00','12:00'
191,'29.08.2020','1-KTW-6','12:00','13:00'
192,'29.08.2020','5-KTW-2','07:00','08:00'
193,'29.08.2020','5-KTW-2','08:00','09:00'
194,'29.08.2020','5-KTW-3','09:00','10:00'
195,'29.08.2020','5-KTW-3','10:00','11:00'
196,'29.08.2020','5-KTW-4','10:00','11:00'
197,'29.08.2020','5-KTW-4','11:00','12:00'
198,'29.08.2020','5-KTW-5','09:00','10:00'
199,'29.08.2020','5-KTW-5','10:00','11:00'
200,'29.08.2020','5-KTW-6','11:00','12:00'
201,'29.08.2020','5-KTW-6','12:00','13:00'
202,'29.08.2020','5-KTW-7','09:00','10:00'
203,'29.08.2020','5-KTW-7','10:00','11:00'
204,'29.08.2020','5-KTW-8','11:00','12:00'
205,'29.08.2020','5-KTW-8','12:00','13:00'
206,'29.08.2020','5-KTW-9','20:45','22:00'
207,'29.08.2020','5-KTW-9','23:15','23:45'
208,'29.08.2020','1-KTW-2','07:30','08:30'
209,'29.08.2020','1-KTW-2','08:00','09:00'
210,'29.08.2020','1-KTW-3','09:00','10:00'
211,'29.08.2020','1-KTW-3','10:00','11:00'
212,'29.08.2020','1-KTW-4','10:00','11:00'
213,'29.08.2020','1-KTW-4','11:00','12:00'
214,'29.08.2020','1-KTW-5','09:00','10:00'
215,'29.08.2020','1-KTW-5','10:00','11:00'
216,'29.08.2020','1-KTW-6','11:00','12:00'
217,'29.08.2020','1-KTW-6','12:00','13:00'
218,'29.08.2020','5-KTW-2','07:00','08:00'
219,'29.08.2020','5-KTW-2','08:00','09:00'
220,'29.08.2020','5-KTW-3','09:00','10:00'
221,'29.08.2020','5-KTW-3','10:00','11:00'
222,'29.08.2020','5-KTW-4','10:00','11:00'
223,'29.08.2020','5-KTW-4','11:00','12:00'
224,'29.08.2020','5-KTW-5','09:00','10:00'
225,'29.08.2020','5-KTW-5','10:00','11:00'
226,'29.08.2020','5-KTW-6','11:00','12:00'
227,'29.08.2020','5-KTW-6','12:00','13:00'
228,'29.08.2020','5-KTW-7','09:00','10:00'
229,'29.08.2020','5-KTW-7','10:00','11:00'
230,'29.08.2020','5-KTW-8','11:00','12:00'
231,'29.08.2020','5-KTW-8','12:00','13:00'
232,'29.08.2020','5-KTW-9','20:45','22:00'
233,'29.08.2020','5-KTW-9','23:15','23:45'
234,'29.08.2020','1-KTW-2','07:30','08:30'
235,'29.08.2020','1-KTW-2','08:00','09:00'
236,'29.08.2020','1-KTW-3','09:00','10:00'
237,'29.08.2020','1-KTW-3','10:00','11:00'
238,'29.08.2020','1-KTW-4','10:00','11:00'
239,'29.08.2020','1-KTW-4','11:00','12:00'
240,'29.08.2020','1-KTW-5','09:00','10:00'
241,'29.08.2020','1-KTW-5','10:00','11:00'
242,'29.08.2020','1-KTW-6','11:00','12:00'
243,'29.08.2020','1-KTW-6','12:00','13:00'
244,'29.08.2020','5-KTW-2','07:00','08:00'
245,'29.08.2020','5-KTW-2','08:00','09:00'
246,'29.08.2020','5-KTW-3','09:00','10:00'
247,'29.08.2020','5-KTW-3','10:00','11:00'
248,'29.08.2020','5-KTW-4','10:00','11:00'
249,'29.08.2020','5-KTW-4','11:00','12:00'
250,'29.08.2020','5-KTW-5','09:00','10:00'
251,'29.08.2020','5-KTW-5','10:00','11:00'
252,'29.08.2020','5-KTW-6','11:00','12:00'
253,'29.08.2020','5-KTW-6','12:00','13:00'
254,'29.08.2020','5-KTW-7','09:00','10:00'
255,'29.08.2020','5-KTW-7','10:00','11:00'
256,'29.08.2020','5-KTW-8','11:00','12:00'
257,'29.08.2020','5-KTW-8','12:00','13:00'
258,'29.08.2020','5-KTW-9','20:45','22:00'
259,'29.08.2020','5-KTW-9','23:15','23:45'
260,'29.08.2020','1-KTW-2','07:30','08:30'
261,'29.08.2020','1-KTW-2','08:00','09:00'
262,'29.08.2020','1-KTW-3','09:00','10:00'
263,'29.08.2020','1-KTW-3','10:00','11:00'
264,'29.08.2020','1-KTW-4','10:00','11:00'
265,'29.08.2020','1-KTW-4','11:00','12:00'
266,'29.08.2020','1-KTW-5','09:00','10:00'
267,'29.08.2020','1-KTW-5','10:00','11:00'
268,'29.08.2020','1-KTW-6','11:00','12:00'
269,'29.08.2020','1-KTW-6','12:00','13:00'
270,'29.08.2020','5-KTW-2','07:00','08:00'
271,'29.08.2020','5-KTW-2','08:00','09:00'
272,'29.08.2020','5-KTW-3','09:00','10:00'
273,'29.08.2020','5-KTW-3','10:00','11:00'
274,'29.08.2020','5-KTW-4','10:00','11:00'
275,'29.08.2020','5-KTW-4','11:00','12:00'
276,'29.08.2020','5-KTW-5','09:00','10:00'
277,'29.08.2020','5-KTW-5','10:00','11:00'
278,'29.08.2020','5-KTW-6','11:00','12:00'
279,'29.08.2020','5-KTW-6','12:00','13:00'
280,'29.08.2020','5-KTW-7','09:00','10:00'
281,'29.08.2020','5-KTW-7','10:00','11:00'
282,'29.08.2020','5-KTW-8','11:00','12:00'
283,'29.08.2020','5-KTW-8','12:00','13:00'
284,'29.08.2020','5-KTW-9','20:45','22:00'
285,'29.08.2020','5-KTW-9','23:15','23:45'
286,'29.08.2020','1-KTW-2','07:30','08:30'
287,'29.08.2020','1-KTW-2','08:00','09:00'
288,'29.08.2020','1-KTW-3','09:00','10:00'
289,'29.08.2020','1-KTW-3','10:00','11:00'
290,'29.08.2020','1-KTW-4','10:00','11:00'
291,'29.08.2020','1-KTW-4','11:00','12:00'
292,'29.08.2020','1-KTW-5','09:00','10:00'
293,'29.08.2020','1-KTW-5','10:00','11:00'
294,'29.08.2020','1-KTW-6','11:00','12:00'
295,'29.08.2020','1-KTW-6','12:00','13:00'
296,'29.08.2020','5-KTW-2','07:00','08:00'
297,'29.08.2020','5-KTW-2','08:00','09:00'
298,'29.08.2020','5-KTW-3','09:00','10:00'
299,'29.08.2020','5-KTW-3','10:00','11:00'
300,'29.08.2020','5-KTW-4','10:00','11:00'
301,'29.08.2020','5-KTW-4','11:00','12:00'
302,'29.08.2020','5-KTW-5','09:00','10:00'
303,'29.08.2020','5-KTW-5','10:00','11:00'
304,'29.08.2020','5-KTW-6','11:00','12:00'
305,'29.08.2020','5-KTW-6','12:00','13:00'
306,'29.08.2020','5-KTW-7','09:00','10:00'
307,'29.08.2020','5-KTW-7','10:00','11:00'
308,'29.08.2020','5-KTW-8','11:00','12:00'
309,'29.08.2020','5-KTW-8','12:00','13:00'
310,'29.08.2020','5-KTW-9','20:45','22:00'
311,'29.08.2020','5-KTW-9','23:15','23:45'
312,'29.08.2020','1-KTW-2','07:30','08:30'
313,'29.08.2020','1-KTW-2','08:00','09:00'
314,'29.08.2020','1-KTW-2','07:30','08:30'
315,'29.08.2020','1-KTW-2','08:00','09:00'
316,'29.08.2020','1-KTW-3','09:00','10:00'
317,'29.08.2020','1-KTW-3','10:00','11:00'
318,'29.08.2020','1-KTW-4','10:00','11:00'
319,'29.08.2020','1-KTW-4','11:00','12:00'
320,'29.08.2020','1-KTW-5','09:00','10:00'
321,'29.08.2020','1-KTW-5','10:00','11:00'
322,'29.08.2020','1-KTW-6','11:00','12:00'
323,'29.08.2020','1-KTW-6','12:00','13:00'
324,'29.08.2020','5-KTW-2','07:00','08:00'
325,'29.08.2020','5-KTW-2','08:00','09:00'
326,'29.08.2020','5-KTW-3','09:00','10:00'
327,'29.08.2020','5-KTW-3','10:00','11:00'
328,'29.08.2020','5-KTW-4','10:00','11:00'
329,'29.08.2020','5-KTW-4','11:00','12:00'
330,'29.08.2020','5-KTW-5','09:00','10:00'
331,'29.08.2020','5-KTW-5','10:00','11:00'
332,'29.08.2020','5-KTW-6','11:00','12:00'
333,'29.08.2020','5-KTW-6','12:00','13:00'
334,'29.08.2020','5-KTW-7','09:00','10:00'
335,'29.08.2020','5-KTW-7','10:00','11:00'
336,'29.08.2020','5-KTW-8','11:00','12:00'
337,'29.08.2020','5-KTW-8','12:00','13:00'
338,'29.08.2020','5-KTW-9','20:45','22:00'
339,'29.08.2020','5-KTW-9','23:15','23:45'
340,'29.08.2020','1-KTW-2','07:30','08:30'
341,'29.08.2020','1-KTW-2','08:00','09:00'
342,'29.08.2020','1-KTW-2','07:30','08:30'
343,'29.08.2020','1-KTW-2','08:00','09:00'
344,'29.08.2020','1-KTW-3','09:00','10:00'
345,'29.08.2020','1-KTW-3','10:00','11:00'
346,'29.08.2020','1-KTW-4','10:00','11:00'
347,'29.08.2020','1-KTW-4','11:00','12:00'
348,'29.08.2020','1-KTW-5','09:00','10:00'
349,'29.08.2020','1-KTW-5','10:00','11:00'
350,'29.08.2020','1-KTW-6','11:00','12:00'
351,'29.08.2020','1-KTW-6','12:00','13:00'
352,'29.08.2020','5-KTW-2','07:00','08:00'
353,'29.08.2020','5-KTW-2','08:00','09:00'
354,'29.08.2020','5-KTW-3','09:00','10:00'
355,'29.08.2020','5-KTW-3','10:00','11:00'
356,'29.08.2020','5-KTW-4','10:00','11:00'
357,'29.08.2020','5-KTW-4','11:00','12:00'
358,'29.08.2020','5-KTW-5','09:00','10:00'
359,'29.08.2020','5-KTW-5','10:00','11:00'
360,'29.08.2020','5-KTW-6','11:00','12:00'
361,'29.08.2020','5-KTW-6','12:00','13:00'
362,'29.08.2020','5-KTW-7','09:00','10:00'
363,'29.08.2020','5-KTW-7','10:00','11:00'
364,'29.08.2020','5-KTW-8','11:00','12:00'
365,'29.08.2020','5-KTW-8','12:00','13:00'
366,'29.08.2020','5-KTW-9','20:45','22:00'
367,'29.08.2020','5-KTW-9','23:15','23:45'
368,'29.08.2020','1-KTW-2','07:30','08:30'
369,'29.08.2020','1-KTW-2','08:00','09:00'
370,'29.08.2020','1-KTW-2','07:30','08:30'
371,'29.08.2020','1-KTW-2','08:00','09:00'
372,'29.08.2020','1-KTW-3','09:00','10:00'
373,'29.08.2020','1-KTW-3','10:00','11:00'
374,'29.08.2020','1-KTW-4','10:00','11:00'
375,'29.08.2020','1-KTW-4','11:00','12:00'
376,'29.08.2020','1-KTW-5','09:00','10:00'
377,'29.08.2020','1-KTW-5','10:00','11:00'
378,'29.08.2020','1-KTW-6','11:00','12:00'
379,'29.08.2020','1-KTW-6','12:00','13:00'
380,'29.08.2020','5-KTW-2','07:00','08:00'
381,'29.08.2020','5-KTW-2','08:00','09:00'
382,'29.08.2020','5-KTW-3','09:00','10:00'
383,'29.08.2020','5-KTW-3','10:00','11:00'
384,'29.08.2020','5-KTW-4','10:00','11:00'
385,'29.08.2020','5-KTW-4','11:00','12:00'
386,'29.08.2020','5-KTW-5','09:00','10:00'
387,'29.08.2020','5-KTW-5','10:00','11:00'
388,'29.08.2020','5-KTW-6','11:00','12:00'
389,'29.08.2020','5-KTW-6','12:00','13:00'
390,'29.08.2020','5-KTW-7','09:00','10:00'
391,'29.08.2020','5-KTW-7','10:00','11:00'
392,'29.08.2020','5-KTW-8','11:00','12:00'
393,'29.08.2020','5-KTW-8','12:00','13:00'
394,'29.08.2020','5-KTW-9','20:45','22:00'
395,'29.08.2020','5-KTW-9','23:15','23:45'
396,'29.08.2020','1-KTW-2','07:30','08:30'
397,'29.08.2020','1-KTW-2','08:00','09:00'
398,'29.08.2020','1-KTW-2','07:30','08:30'
399,'29.08.2020','1-KTW-2','08:00','09:00'
400,'29.08.2020','1-KTW-3','09:00','10:00'
401,'29.08.2020','1-KTW-3','10:00','11:00'
402,'29.08.2020','1-KTW-4','10:00','11:00'
403,'29.08.2020','1-KTW-4','11:00','12:00'
404,'29.08.2020','1-KTW-5','09:00','10:00'
405,'29.08.2020','1-KTW-5','10:00','11:00'
406,'29.08.2020','1-KTW-6','11:00','12:00'
407,'29.08.2020','1-KTW-6','12:00','13:00'
408,'29.08.2020','5-KTW-2','07:00','08:00'
409,'29.08.2020','5-KTW-2','08:00','09:00'
410,'29.08.2020','5-KTW-3','09:00','10:00'
411,'29.08.2020','5-KTW-3','10:00','11:00'
412,'29.08.2020','5-KTW-4','10:00','11:00'
413,'29.08.2020','5-KTW-4','11:00','12:00'
414,'29.08.2020','5-KTW-5','09:00','10:00'
415,'29.08.2020','5-KTW-5','10:00','11:00'
416,'29.08.2020','5-KTW-6','11:00','12:00'
417,'29.08.2020','5-KTW-6','12:00','13:00'
418,'29.08.2020','5-KTW-7','09:00','10:00'
419,'29.08.2020','5-KTW-7','10:00','11:00'
420,'29.08.2020','5-KTW-8','11:00','12:00'
421,'29.08.2020','5-KTW-8','12:00','13:00'
422,'29.08.2020','5-KTW-9','20:45','22:00'
423,'29.08.2020','5-KTW-9','23:15','23:45'
424,'29.08.2020','1-KTW-2','07:30','08:30'
425,'29.08.2020','1-KTW-2','08:00','09:00'
426,'29.08.2020','1-KTW-2','07:30','08:30'
427,'29.08.2020','1-KTW-2','08:00','09:00'
428,'29.08.2020','1-KTW-3','09:00','10:00'
429,'29.08.2020','1-KTW-3','10:00','11:00'
430,'29.08.2020','1-KTW-4','10:00','11:00'
431,'29.08.2020','1-KTW-4','11:00','12:00'
432,'29.08.2020','1-KTW-5','09:00','10:00'
433,'29.08.2020','1-KTW-5','10:00','11:00'
434,'29.08.2020','1-KTW-6','11:00','12:00'
435,'29.08.2020','1-KTW-6','12:00','13:00'
436,'29.08.2020','5-KTW-2','07:00','08:00'
437,'29.08.2020','5-KTW-2','08:00','09:00'
438,'29.08.2020','5-KTW-3','09:00','10:00'
439,'29.08.2020','5-KTW-3','10:00','11:00'
440,'29.08.2020','5-KTW-4','10:00','11:00'
441,'29.08.2020','5-KTW-4','11:00','12:00'
442,'29.08.2020','5-KTW-5','09:00','10:00'
443,'29.08.2020','5-KTW-5','10:00','11:00'
444,'29.08.2020','5-KTW-6','11:00','12:00'
445,'29.08.2020','5-KTW-6','12:00','13:00'
446,'29.08.2020','5-KTW-7','09:00','10:00'
447,'29.08.2020','5-KTW-7','10:00','11:00'
448,'29.08.2020','5-KTW-8','11:00','12:00'
449,'29.08.2020','5-KTW-8','12:00','13:00'
450,'29.08.2020','5-KTW-9','20:45','22:00'
451,'29.08.2020','5-KTW-9','23:15','23:45'
452,'29.08.2020','1-KTW-2','07:30','08:30'
453,'29.08.2020','1-KTW-2','08:00','09:00'
454,'29.08.2020','1-KTW-2','07:30','08:30'
455,'29.08.2020','1-KTW-2','08:00','09:00'
456,'29.08.2020','1-KTW-3','09:00','10:00'
457,'29.08.2020','1-KTW-3','10:00','11:00'
458,'29.08.2020','1-KTW-4','10:00','11:00'
459,'29.08.2020','1-KTW-4','11:00','12:00'
460,'29.08.2020','1-KTW-5','09:00','10:00'
461,'29.08.2020','1-KTW-5','10:00','11:00'
462,'29.08.2020','1-KTW-6','11:00','12:00'
463,'29.08.2020','1-KTW-6','12:00','13:00'
464,'29.08.2020','5-KTW-2','07:00','08:00'
465,'29.08.2020','5-KTW-2','08:00','09:00'
466,'29.08.2020','5-KTW-3','09:00','10:00'
467,'29.08.2020','5-KTW-3','10:00','11:00'
468,'29.08.2020','5-KTW-4','10:00','11:00'
469,'29.08.2020','5-KTW-4','11:00','12:00'
470,'29.08.2020','5-KTW-5','09:00','10:00'
471,'29.08.2020','5-KTW-5','10:00','11:00'
472,'29.08.2020','5-KTW-6','11:00','12:00'
473,'29.08.2020','5-KTW-6','12:00','13:00'
474,'29.08.2020','5-KTW-7','09:00','10:00'
475,'29.08.2020','5-KTW-7','10:00','11:00'
476,'29.08.2020','5-KTW-8','11:00','12:00'
477,'29.08.2020','5-KTW-8','12:00','13:00'
478,'29.08.2020','5-KTW-9','20:45','22:00'
479,'29.08.2020','5-KTW-9','23:15','23:45'
480,'29.08.2020','1-KTW-2','07:30','08:30'
481,'29.08.2020','1-KTW-2','08:00','09:00'
482,'29.08.2020','1-KTW-2','07:30','08:30'
483,'29.08.2020','1-KTW-2','08:00','09:00'
484,'29.08.2020','1-KTW-3','09:00','10:00'
485,'29.08.2020','1-KTW-3','10:00','11:00'
486,'29.08.2020','1-KTW-4','10:00','11:00'
487,'29.08.2020','1-KTW-4','11:00','12:00'
488,'29.08.2020','1-KTW-5','09:00','10:00'
489,'29.08.2020','1-KTW-5','10:00','11:00'
490,'29.08.2020','1-KTW-6','11:00','12:00'
491,'29.08.2020','1-KTW-6','12:00','13:00'
492,'29.08.2020','5-KTW-2','07:00','08:00'
493,'29.08.2020','5-KTW-2','08:00','09:00'
494,'29.08.2020','5-KTW-3','09:00','10:00'
495,'29.08.2020','5-KTW-3','10:00','11:00'
496,'29.08.2020','5-KTW-4','10:00','11:00'
497,'29.08.2020','5-KTW-4','11:00','12:00'
498,'29.08.2020','5-KTW-5','09:00','10:00'
499,'29.08.2020','5-KTW-5','10:00','11:00'
500,'29.08.2020','5-KTW-6','11:00','12:00'
501,'29.08.2020','5-KTW-6','12:00','13:00'
502,'29.08.2020','5-KTW-7','09:00','10:00'
503,'29.08.2020','5-KTW-7','10:00','11:00'
504,'29.08.2020','5-KTW-8','11:00','12:00'
505,'29.08.2020','5-KTW-8','12:00','13:00'
506,'29.08.2020','5-KTW-9','20:45','22:00'
507,'29.08.2020','5-KTW-9','23:15','23:45'
508,'29.08.2020','1-KTW-2','07:30','08:30'
509,'29.08.2020','1-KTW-2','08:00','09:00'
510,'29.08.2020','1-KTW-2','07:30','08:30'
511,'29.08.2020','1-KTW-2','08:00','09:00'
512,'29.08.2020','1-KTW-3','09:00','10:00'
513,'29.08.2020','1-KTW-3','10:00','11:00'
514,'29.08.2020','1-KTW-4','10:00','11:00'
515,'29.08.2020','1-KTW-4','11:00','12:00'
516,'29.08.2020','1-KTW-5','09:00','10:00'
